Company AAPL | MSE: 10.991428863315399 | MAE: 1.5760855489109977 
Company ABNB | MSE: 3168.987551573066 | MAE: 53.01231381665191 
Company ADBE | MSE: 242.4573831187041 | MAE: 11.085281112783488 
Company ADI | MSE: 9.931029984658114 | MAE: 2.281059427667974 
Company ADP | MSE: 389.34696396130613 | MAE: 15.625341755825934 
Company ADSK | MSE: 456.953446972484 | MAE: 15.462716997757699 
Company AEP | MSE: 14.502262573496335 | MAE: 3.446225236432785 
Company ALGN | MSE: 894.348287833693 | MAE: 22.083867588664532 
Company AMAT | MSE: 1.4787184696241593 | MAE: 0.6841814916134251 
Company AMD | MSE: 3.9352227354425855 | MAE: 1.1792189493846505 
Company AMGN | MSE: 87.40947960237831 | MAE: 6.635719981734602 
Company AMZN | MSE: 30.61223888862854 | MAE: 3.3639384284898 
Company ANSS | MSE: 742.8242631743105 | MAE: 21.400819852095097 
Company ASML | MSE: 441.72821773701145 | MAE: 16.79386358654611 
Company ATVI | MSE: 7.822465018327064 | MAE: 2.0373187322349016 
Company AVGO | MSE: 1200.3792297975829 | MAE: 31.182500507427633 
Company AZN | MSE: 0.5329001111294548 | MAE: 0.5736730987351101 
Company BIDU | MSE: 537.9727516464873 | MAE: 17.931179900541096 
Company BIIB | MSE: 510.8534101399517 | MAE: 18.75090030712754 
Company BKNG | MSE: 550.4569753255957 | MAE: 8.084599343069383 
Company CDNS | MSE: 6.789968044533723 | MAE: 1.5768393307639683 
Company CEG | MSE: 34.73407415329823 | MAE: 5.455118962254124 
Company CHTR | MSE: 3368.7347387035647 | MAE: 55.98640790446639 
Company CMCSA | MSE: 4.2848808384329145 | MAE: 1.6442782075657527 
Company COST | MSE: 595.3322934081849 | MAE: 21.708533667132308 
Company CPRT | MSE: 2.5984571072395215 | MAE: 1.2952800146316248 
Company CRWD | MSE: 4061.6885461156203 | MAE: 57.3690252682667 
Company CSCO | MSE: 1.2432744621357705 | MAE: 0.8950884539774339 
Company CSX | MSE: 1.5379224425427325 | MAE: 0.937836897874982 
Company CTAS | MSE: 518.7920318427465 | MAE: 17.9195798467054 
Company CTSH | MSE: 1.9287863411433321 | MAE: 1.2152571536962637 
Company DDOG | MSE: 45.73692835251031 | MAE: 5.078050220035662 
Company DLTR | MSE: 2.868848702899497 | MAE: 1.2872097750593554 
Company DOCU | MSE: 3017.2599211255424 | MAE: 45.97191574346178 
Company DXCM | MSE: 19.40562524588904 | MAE: 3.056437377920583 
Company EA | MSE: 13.997702148309084 | MAE: 2.9491057750483254 
Company EBAY | MSE: 1.662643255033214 | MAE: 1.1431586666660303 
Company EXC | MSE: 2.7132055599358718 | MAE: 1.444559321574598 
Company FAST | MSE: 0.5605787358603038 | MAE: 0.5866917172216526 
Company FISV | MSE: 10.688271589837358 | MAE: 2.335276197671491 
Company FTNT | MSE: 5.599069935610224 | MAE: 2.1079817455698127 
Company GILD | MSE: 3.8022449312289663 | MAE: 1.577297698411205 
Company GOOG | MSE: 22.211503475029595 | MAE: 3.9014456667897206 
Company GOOGL | MSE: 28.274315153794184 | MAE: 4.385840089252739 
Company HON | MSE: 154.87364143673614 | MAE: 9.535821195022384 
Company IDXX | MSE: 456.06729190785455 | MAE: 15.253536176740555 
Company ILMN | MSE: 1316.644247769501 | MAE: 28.15706536787304 
Company INTC | MSE: 6.499659335968449 | MAE: 2.0362429295020426 
Company INTU | MSE: 515.7282614037196 | MAE: 19.50433608008124 
Company ISRG | MSE: 536.6826613833645 | MAE: 18.841071487335967 
Company JD | MSE: 19.95515874915053 | MAE: 4.1488550854451915 
Company KDP | MSE: 28.19628583993217 | MAE: 4.662915003359089 
Company KHC | MSE: 35.04466630202283 | MAE: 5.369384237970038 
Company KLAC | MSE: 368.4791024855634 | MAE: 14.347071062100477 
Company LCID | MSE: 19.645681359141772 | MAE: 2.9701711398364843 
Company LRCX | MSE: 340.5316176927407 | MAE: 14.228061847758953 
Company LULU | MSE: 1340.4209575435034 | MAE: 30.58138960483341 
Company MAR | MSE: 35.04181102774461 | MAE: 4.562030578992671 
Company MCHP | MSE: 3.997761443976529 | MAE: 1.8540478843964412 
Company MDLZ | MSE: 1.262862625184982 | MAE: 0.8737400339039578 
Company MELI | MSE: 6011.350987950268 | MAE: 64.30739316354855 
Company META | MSE: 2045.427345545186 | MAE: 42.73612610582625 
Company MNST | MSE: 2.6888627905276405 | MAE: 1.044800420608161 
Company MRNA | MSE: 4655.991622279067 | MAE: 48.132687891855305 
Company MRVL | MSE: 7.190783914371616 | MAE: 2.2976386099838937 
Company MSFT | MSE: 175.29150073239754 | MAE: 10.2699240668373 
Company MTCH | MSE: 14.972931679586308 | MAE: 2.289659465881185 
Company MU | MSE: 0.6366922691954962 | MAE: 0.48832230631641793 
Company NFLX | MSE: 619.4013364667236 | MAE: 16.026031779072113 
Company NTES | MSE: 7.811706218048008 | MAE: 2.206262246771505 
Company NVDA | MSE: 358.95276781958904 | MAE: 8.75579942852286 
Company NXPI | MSE: 1290.3926765568667 | MAE: 33.12427107974796 
Company ODFL | MSE: 442.98600016970624 | MAE: 12.332348728517372 
Company OKTA | MSE: 2302.763280384177 | MAE: 40.052782408581365 
Company ORLY | MSE: 355.3575278563162 | MAE: 14.630951564848388 
Company PANW | MSE: 884.9721437700883 | MAE: 26.972737581876448 
Company PAYX | MSE: 7.667229675129633 | MAE: 2.165599606912224 
Company PCAR | MSE: 12.943954461446157 | MAE: 2.973179635302429 
Company PDD | MSE: 864.2848838912907 | MAE: 21.426657604556254 
Company PEP | MSE: 8.664328919678066 | MAE: 2.3804744250478835 
Company PYPL | MSE: 1858.8605855765218 | MAE: 39.214726276720164 
Company QCOM | MSE: 12.269115583712502 | MAE: 2.676384713176251 
Company REGN | MSE: 660.9441039449642 | MAE: 18.113135257983252 
Company ROST | MSE: 14.938006436902599 | MAE: 2.4513401783445175 
Company SBUX | MSE: 8.503873084353856 | MAE: 2.3286382713755818 
Company SGEN | MSE: 640.1970218655177 | MAE: 18.682693542370625 
Company SIRI | MSE: 1.4809218926125887 | MAE: 0.6392006355820979 
Company SNPS | MSE: 383.94011988259405 | MAE: 16.093846711992462 
Company SPLK | MSE: 1154.8673998317693 | MAE: 31.77049120835333 
Company SWKS | MSE: 3.3874070112255676 | MAE: 0.7962346671331059 
Company TEAM | MSE: 1537.55495862151 | MAE: 35.229750762862665 
Company TMUS | MSE: 9.495653762142384 | MAE: 2.441937065980105 
Company TSLA | MSE: 1420.9075608434964 | MAE: 21.105600603471913 
Company TXN | MSE: 314.5648445813858 | MAE: 11.679075085811435 
Company VRSK | MSE: 495.9870956870686 | MAE: 21.210041465342087 
Company VRSN | MSE: 425.9423798721326 | MAE: 14.230888628739697 
Company VRTX | MSE: 239.96367596808292 | MAE: 12.381812310504849 
Company WBA | MSE: 12.208101179101305 | MAE: 2.813535948734874 
Company WDAY | MSE: 646.0225435953694 | MAE: 23.967637948246097 
Company XEL | MSE: 0.6992214043866274 | MAE: 0.6650226299783175 
Company ZM | MSE: 5675.236866714476 | MAE: 60.472425664387096 
Company ZS | MSE: 3186.3120633106273 | MAE: 47.13944887125297 
